Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
"ENNIS, INC. (XNYS:EBF)",EBF,Consumer Services,$20.34,-0.05,-0.25%,530254505,51262,$21.11,$13.98,0.54,19.24,"120,563"
BRAZILIAN ELECTRIC POWER COMPANY (XNYS:EBR),EBR,Public Utilities,$5.50,-0.09,-1.61%,8629120005,1638774,$8.17,$2.96,#FIELD!,0,"2,421,511"
EMERGENT BIOSOLUTIONS INC. (XNYS:EBS),EBS,Health Care,$100.00,-2.2,-2.15%,5330000000,242448,$137.61,$46.37,1.19,18.16,"625,644"
Ecopetrol SA (XNYS:EC),EC,Energy,$12.40,-0.03,-0.24%,25492350702,446472,$18.34,$6.28,1.75,19.47,"1,317,721"
Eagle Point Credit (XNYS:ECC),ECC,,$11.54,0.18,1.59%,373375431,97871,$14.49,$3.78,3.39,#FIELD!,"141,166"
EAGLE POINT CREDIT COMPANY INC. (XNYS:ECCB),ECCB,,$25.62,0.0409,0.16%,0,2247,$26.42,$13.30,#FIELD!,0,"19,805"
EAGLE POINT CREDIT COMPANY INC. (XNYS:ECCX),ECCX,,$25.42,0.07,0.28%,0,3461,$25.62,$12.55,#FIELD!,0,"5,459"
EAGLE POINT CREDIT COMPANY INC. (XNYS:ECCY),ECCY,,$25.49,0.03,0.12%,0,112,$25.65,$13.48,#FIELD!,0,"1,523"
ECOLAB INC. (XNYS:ECL),ECL,Basic Industries,$212.61,1.39,0.66%,60688500358,280820,$231.36,$124.60,1,62.76,"956,693"
CHANNELADVISOR CORPORATION (XNYS:ECOM),ECOM,Technology,$23.62,-0.26,-1.09%,686096990,91307,$28.94,$4.39,0.9,38.17,"384,249"
"CONSOLIDATED EDISON, INC. (XNYS:ED)",ED,Public Utilities,$67.33,0.285,0.43%,23053370082,827771,$94.63,$62.03,0.11,16.58,"2,908,082"
Morg Stan Em Mkt Dom Dbt (XNYS:EDD),EDD,,$6.04,0.01,0.17%,399196435,42933,$6.74,$3.75,0.81,#FIELD!,"228,083"
StoneHarbor Emg Mkts Inc (XNYS:EDF),EDF,,$8.84,0.0697,0.80%,147409688,42616,$12.79,$3.46,1.82,#FIELD!,"108,148"
StoneHarbor EM Tot Inc (XNYS:EDI),EDI,,$9.15,0.1116,1.24%,90400951,10625,$11.63,$4.08,1.87,#FIELD!,"49,273"
Empresa Distribuidora y Comercializadora Norte SA (XNYS:EDN),EDN,Public Utilities,$3.69,-0.06,-1.60%,161451194,11736,$5.50,$2.54,0.71,0,"39,782"
NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC. (XNYS:EDU),EDU,Consumer Services,$188.53,2.1,1.13%,32081374676,398042,$199.74,$102.01,0.98,78.91,"1,013,473"
European Equity Fund (XNYS:EEA),EEA,,$10.55,0.0307,0.29%,78657927,6780,$10.90,$5.73,#FIELD!,#FIELD!,"18,262"
"EMERALD HOLDING, INC. (XNYS:EEX)",EEX,Miscellaneous,$5.67,-0.07,-1.22%,410356214,127594,$6.83,$1.50,2.03,0,"179,997"
Ellington Financial Inc. (XNYS:EFC),EFC,Finance,$15.96,0,0.00%,698755677,121680,$17.45,$3.24,2.18,51.48,"225,247"
Eaton Vance Flt-Rt Inc + (XNYS:EFF),EFF,,$16.25,0.36,2.27%,123604358,41507,$16.00,$8.78,1.55,#FIELD!,"49,287"
Eaton Vance F-R 2022 TT (XNYS:EFL),EFL,,$9.33,0.02,0.22%,220389640,42621,$9.55,$5.05,1.26,#FIELD!,"45,896"
Eaton Vance Sen Flt-Rt (XNYS:EFR),EFR,,$13.40,-0.04,-0.30%,493767394,74273,$13.65,$7.20,1.62,#FIELD!,"105,930"
Eaton Vance Flt-Rt Inc (XNYS:EFT),EFT,,$13.99,-0.0395,-0.28%,557712955,53076,$14.05,$7.31,1.61,#FIELD!,"94,108"
EQUIFAX INC. (XNYS:EFX),EFX,Finance,$168.14,1.5328,0.92%,20479793040,308202,$196.47,$103.01,1.32,39.36,"946,065"
BlackRock En Govt (XNYS:EGF),EGF,,$12.92,0.08,0.62%,55058438,744,$13.84,$9.62,#FIELD!,#FIELD!,"5,292"
"8X8, INC. (XNYS:EGHT)",EGHT,Technology,$34.62,-0.43,-1.23%,3721178268,324501,$39.17,$10.70,1.14,0,"1,929,731"
Eldorado Gold Corporation (XNYS:EGO),EGO,Basic Industries,$11.08,0.615,5.88%,1935897507,1611060,$14.49,$4.60,1.58,17.73,"2,556,337"
"EASTGROUP PROPERTIES, INC. (XNYS:EGP)",EGP,Consumer Services,$136.42,-1.38,-1.00%,5410363041,111379,$153.26,$83.40,0.7,50.01,"174,480"
"VAALCO ENERGY, INC. (XNYS:EGY)",EGY,Energy,$3.24,0,0.00%,186157890,184773,$3.45,$0.70,2.61,0,"383,945"
ENCOMPASS HEALTH CORPORATION (XNYS:EHC),EHC,Health Care,$80.07,0.13,0.16%,7961557392,205607,$88.42,$48.01,1.15,27.99,"671,803"
Western Asset Gl Hi Inc (XNYS:EHI),EHI,,$10.23,0.073,0.72%,232261440,33529,$10.88,$6.15,#FIELD!,#FIELD!,"45,190"
Eaton Vance 2021 Tgt Tm (XNYS:EHT),EHT,,$9.84,-0.0133,-0.14%,211139886,3601,$9.89,$6.66,#FIELD!,#FIELD!,"71,748"
Eagle Point Income (XNYS:EIC),EIC,,$15.40,-0.02,-0.13%,0,1475,$18.72,$5.47,#FIELD!,#FIELD!,"5,908"
"EMPLOYERS HOLDINGS, INC. (XNYS:EIG)",EIG,Finance,$33.65,-0.21,-0.62%,951530640,52965,$41.11,$25.53,-0.05,8.24,"173,253"
EDISON INTERNATIONAL (XNYS:EIX),EIX,Public Utilities,$55.23,0.315,0.57%,20903430790,735033,$71.82,$43.63,0.59,27.86,"2,144,704"
THE ESTEE LAUDER COMPANIES INC. (XNYS:EL),EL,Consumer Non-Durables,$293.18,-0.77,-0.26%,1.06E+11,636274,$298.31,$137.01,0.94,117.84,"1,508,058"
ELANCO ANIMAL HEALTH INCORPORATED (XNYS:ELAN),ELAN,Health Care,$32.62,-1.035,-3.08%,15391509388,2158295,$34.09,$15.17,#FIELD!,0,"3,945,217"
ELANCO ANIMAL HEALTH UNT (XNYS:ELAT),ELAT,Health Care,$49.83,-1.36,-2.66%,0,2585,$52.49,$30.73,#FIELD!,#FIELD!,"77,615"
"ENTERGY LOUISIANA, LLC (XNYS:ELC)",ELC,Public Utilities,$25.47,0.0086,0.03%,0,5963,$26.96,$20.29,0.08,0,"18,352"
"E.L.F. BEAUTY, INC. (XNYS:ELF)",ELF,Consumer Non-Durables,$26.49,-0.71,-2.61%,1357374011,594122,$27.29,$7.58,2.06,239.82,"879,123"
Energy Company of Parana (XNYS:ELP),ELP,Public Utilities,$10.60,-0.02,-0.19%,2900746975,391230,$17.01,$8.28,0.57,4.6,"758,902"
"EQUITY LIFESTYLE PROPERTIES, INC. (XNYS:ELS)",ELS,Consumer Services,$61.06,-0.33,-0.54%,11131220232,382595,$76.06,$41.97,0.48,50.81,"876,827"
"ELEVATE CREDIT, INC. (XNYS:ELVT)",ELVT,Finance,$4.53,0.12,2.72%,172459030,361565,$4.90,$0.89,2.84,5.15,"530,075"
CALLAWAY GOLF COMPANY (XNYS:ELY),ELY,Consumer Non-Durables,$28.41,-0.58,-2.00%,2676285638,797770,$32.59,$4.75,2.2,0,"2,205,196"
Western Asset EM Debt (XNYS:EMD),EMD,,$13.26,0.05,0.38%,805492119,109849,$14.54,$8.01,0.95,#FIELD!,"205,236"
"EMCOR GROUP, INC. (XNYS:EME)",EME,Capital Goods,$99.88,-1.7,-1.67%,5486470026,82286,$104.00,$41.85,1.22,42.35,"242,305"
Templeton Emerging Mkts (XNYS:EMF),EMF,,$19.93,-0.1203,-0.60%,322274071,11892,$20.96,$9.40,1.06,#FIELD!,"37,180"
EASTMAN CHEMICAL COMPANY (XNYS:EMN),EMN,Basic Industries,$114.06,2.22,1.99%,15496403067,395130,$114.41,$34.44,1.55,31.92,"912,555"
ClearBridge Engy Mds Opp (XNYS:EMO),EMO,,$18.00,0.19,1.07%,249611652,26924,$33.80,$3.55,#FIELD!,#FIELD!,"58,230"
Entergy Mississippi LLC (XNYS:EMP),EMP,Public Utilities,$25.65,0.0313,0.12%,0,7900,$27.37,$20.26,#FIELD!,0,"23,147"
Empower Ltd (XNYS:EMPW),EMPW,Finance,$9.95,-0.13,-1.29%,320265625,33378,$10.60,$9.75,#FIELD!,0,"72,573"
EMERSON ELECTRIC CO. (XNYS:EMR),EMR,Energy,$88.15,-0.29,-0.33%,52892615587,850366,$89.17,$37.75,1.58,25.61,"2,757,536"
Enbridge Inc. (XNYS:ENB),ENB,Energy,$35.16,0.4055,1.17%,71207310671,2235285,$38.97,$22.57,0.92,29.92,"5,623,675"
Enbridge Inc. (XNYS:ENBA),ENBA,Energy,$26.86,-0.04,-0.15%,0,18299,$27.38,$13.13,0.92,0,"50,015"
ENABLE MIDSTREAM PARTNERS COM UNT (XNYS:ENBL),ENBL,Public Utilities,$6.82,-0.055,-0.80%,2968426151,755344,$7.19,$1.61,#FIELD!,#FIELD!,"2,056,344"
Enel Americas SA (XNYS:ENIA),ENIA,Public Utilities,$7.70,0.15,1.99%,11717291894,772786,$9.41,$5.22,1.13,13.92,"1,043,294"
Enel Chile SA (XNYS:ENIC),ENIC,Public Utilities,$3.75,0.08,2.18%,5187491790,227507,$4.54,$2.95,0.78,0,"467,396"
Entergy New Orleans LLC (XNYS:ENJ),ENJ,Public Utilities,$25.61,0.2514,0.99%,0,1001,$26.16,$21.06,#FIELD!,0,"2,078"
ENLINK MIDSTREAM COM UNT (XNYS:ENLC),ENLC,Public Utilities,$4.41,0.2,4.75%,2161113466,1848574,$4.82,$0.88,#FIELD!,#FIELD!,"3,513,034"
Entergy New Orleans LLC (XNYS:ENO),ENO,Public Utilities,$25.64,0.0933,0.37%,0,4430,$27.51,$22.00,#FIELD!,5.22,"11,570"
Executive Network Partnering Corp (XNYS:ENPC),ENPC,Finance,$24.95,-0.27,-1.07%,442952320,165755,$26.31,$24.00,#FIELD!,0,"75,999"
"Energizer Holdings, Inc. (XNYS:ENR)",ENR,Miscellaneous,$41.93,-0.26,-0.62%,2866627304,499179,$53.19,$26.60,1.2,56.25,"690,645"
ENERSYS (XNYS:ENS),ENS,Miscellaneous,$92.27,-1.82,-1.93%,3938728383,53572,$96.04,$35.21,1.49,37.58,"250,463"
"ENVESTNET, INC. (XNYS:ENV)",ENV,Miscellaneous,$68.57,0.75,1.11%,3699337512,551999,$92.51,$45.53,1.29,0,"636,180"
"ENOVA INTERNATIONAL, INC. (XNYS:ENVA)",ENVA,Finance,$30.62,-0.877,-2.78%,1095168083,216025,$32.21,$7.84,1.84,2.78,"470,703"
"ENZO BIOCHEM, INC. (XNYS:ENZ)",ENZ,Health Care,$3.00,0.05,1.70%,143685150,137160,$4.85,$1.56,0.91,0,"318,648"
Wells Fargo Gl Div Oppty (XNYS:EOD),EOD,,$5.34,-0.0211,-0.39%,233862079,132937,$5.42,$2.92,#FIELD!,#FIELD!,"232,561"
"EOG RESOURCES, INC. (XNYS:EOG)",EOG,Energy,$65.50,0.515,0.79%,38208371255,1673367,$72.86,$27.00,2.16,0,"4,964,525"
Eaton Vance Enh Eq Inc (XNYS:EOI),EOI,,$16.81,0.0282,0.17%,660963942,63829,$16.89,$9.05,26.59,#FIELD!,"98,368"
Eaton Vance Enh Eq Inc 2 (XNYS:EOS),EOS,,$22.64,0.2694,1.20%,1127111381,69280,$23.00,$10.67,32.71,#FIELD!,"119,934"
Eaton Vance Natl Mun Opp (XNYS:EOT),EOT,,$21.79,0.07,0.32%,333678637,40113,$23.18,$16.00,#FIELD!,#FIELD!,"31,307"
ENERPAC TOOL GROUP CORP. (XNYS:EPAC),EPAC,Technology,$25.20,-0.01,-0.04%,1508750914,78510,$25.96,$13.28,1.49,"1,513.21","277,178"
"EPAM SYSTEMS, INC. (XNYS:EPAM)",EPAM,Technology,$390.08,5.425,1.41%,21886431470,110654,$402.62,$151.97,1.36,68.73,"264,802"
Edgewell Personal Care Company (XNYS:EPC),EPC,Consumer Non-Durables,$30.68,-0.235,-0.76%,1664976208,261713,$37.36,$20.51,0.96,26.89,"606,784"
ENTERPRISE PRODUCTS PARTNERS UNT (XNYS:EPD),EPD,Public Utilities,$22.43,0.05,0.22%,48962020359,3892660,$25.10,$10.27,#FIELD!,#FIELD!,"8,140,250"
EPR PROPERTIES (XNYS:EPR),EPR,Consumer Services,$46.21,-0.84,-1.79%,3447394880,314757,$61.79,$12.56,1.88,0,"1,335,526"
"ESSENTIAL PROPERTIES REALTY TRUST, INC. (XNYS:EPRT)",EPRT,Consumer Services,$23.47,-0.2,-0.85%,2509761493,344600,$26.70,$6.08,#FIELD!,53.06,"884,806"
Equity Commonwealth (XNYS:EQC),EQC,Consumer Services,$28.17,0.045,0.16%,3426132016,373770,$30.97,$24.38,0.18,7.99,"674,148"
Equity Distribution Acquisition Corp (XNYS:EQD),EQD,Finance,$10.17,-0.1565,-1.52%,526478625,346441,$11.06,$9.32,#FIELD!,0,"317,332"
"EQUITABLE HOLDINGS, INC (XNYS:EQH)",EQH,Finance,$30.42,0.155,0.51%,13525072346,1261029,$31.37,$9.89,#FIELD!,0,"3,608,147"
Equinor ASA (XNYS:EQNR),EQNR,Energy,$19.35,0.095,0.49%,62835697585,1417510,$20.38,$8.41,1.24,0,"4,031,154"
EQUITY RESIDENTIAL (XNYS:EQR),EQR,Consumer Services,$66.79,0.04,0.06%,24890176130,910520,$81.18,$45.43,0.78,27.01,"2,555,640"
Equus Total Return (XNYS:EQS),EQS,,$1.87,0.07,3.89%,25278933,14968,$2.32,$0.74,0.56,#FIELD!,"82,172"
EQT CORPORATION (XNYS:EQT),EQT,Energy,$18.93,0.485,2.63%,5277320750,2218951,$19.69,$4.90,1.29,0,"5,815,579"
ENERPLUS CORPORATION (XNYS:ERF),ERF,Energy,$4.87,0.09,1.88%,1083806812,1413636,$5.42,$1.15,3.61,0,"2,997,578"
Embraer SA (XNYS:ERJ),ERJ,Capital Goods,$8.71,0.015,0.17%,1602096718,3779931,$15.75,$3.96,0.93,0,"4,973,712"
Eversource Energy (XNYS:ES),ES,Public Utilities,$80.74,0.005,0.01%,27692376754,662832,$98.92,$60.69,0.3,22.75,"1,463,230"
ESCO TECHNOLOGIES INC. (XNYS:ESE),ESE,Capital Goods,$106.86,-1.59,-1.47%,2782390118,30306,$111.75,$62.64,1.07,100.11,"94,362"
EROS STX GLOBAL CORPORATION (XNYS:ESGC),ESGC,Consumer Services,$1.97,0.015,0.77%,744598513,3922523,$4.36,$1.10,1.37,0,"6,286,238"
ELEMENT SOLUTIONS INC (XNYS:ESI),ESI,Basic Industries,$18.80,0,0.00%,4645480000,463957,$19.40,$5.35,1.63,61.07,"1,786,350"
ESSENT GROUP LTD (XNYS:ESNT),ESNT,Finance,$43.13,-0.26,-0.60%,4848817102,405364,$49.53,$17.52,1.29,11.18,"800,087"
"EMPIRE STATE REALTY TRUST, INC. (XNYS:ESRT)",ESRT,Consumer Services,$11.27,-0.11,-0.97%,3215091208,686493,$12.66,$5.19,1.21,0,"1,773,760"
"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)",ESS,Consumer Services,$261.51,1.5412,0.59%,16996790473,264776,$303.22,$175.81,0.73,30.07,"488,228"
ENTERGY CORPORATION (XNYS:ETR),ETR,Public Utilities,$88.92,1.16,1.32%,17805770639,806728,$128.75,$75.20,0.49,12.71,"1,524,901"
Equitrans Midstream Corporation (XNYS:ETRN),ETRN,Public Utilities,$7.48,-0.02,-0.27%,3234875600,2086893,$11.66,$3.75,#FIELD!,7.48,"5,645,825"
Eaton Vance T-M B-W Opps (XNYS:ETV),ETV,,$15.25,0.08,0.53%,1412289553,110381,$15.50,$8.59,19.24,#FIELD!,"245,197"
Eaton Vance Tx-Mg Gl B-W (XNYS:ETW),ETW,,$9.89,0.0399,0.41%,1063031963,170118,$10.07,$5.49,17.58,#FIELD!,"350,582"
Eaton Vance Mun Inc 2028 (XNYS:ETX),ETX,,$22.16,-0.3442,-1.53%,240302051,3332,$23.50,$16.10,#FIELD!,#FIELD!,"14,656"
Eaton Vance T-M D-E Inc (XNYS:ETY),ETY,,$12.61,0.02,0.16%,1913151572,173533,$12.79,$6.60,24.11,#FIELD!,"332,852"
Euronav NV (XNYS:EURN),EURN,Transportation,$9.18,0.13,1.44%,1851403866,774738,$12.47,$7.21,0.01,4.12,"1,349,735"
ENVIVA PARTNERS UNT (XNYS:EVA),EVA,Basic Industries,$50.51,-1.89,-3.61%,2021567034,70148,$53.96,$20.63,#FIELD!,#FIELD!,"139,011"
ENTRAVISION COMMUNICATIONS CORPORATION (XNYS:EVC),EVC,Consumer Services,$3.32,-0.01,-0.30%,279496617,88350,$3.60,$1.10,0.68,0,"306,281"
Eaton Vance Senior Inc (XNYS:EVF),EVF,,$6.69,0.0125,0.19%,253422267,29905,$6.74,$3.30,1.64,#FIELD!,"80,868"
Eaton Vance Sht Dur DI (XNYS:EVG),EVG,,$13.17,-0.05,-0.38%,235487449,8479,$13.36,$8.63,1.08,#FIELD!,"40,478"
"EVOLENT HEALTH, INC. (XNYS:EVH)",EVH,Consumer Services,$19.60,0.06,0.31%,1682606139,195021,$22.35,$3.50,2.41,0,"621,758"
Eaton Vance Muni Inc Tr (XNYS:EVN),EVN,,$13.28,0.045,0.34%,526581589,50347,$13.90,$9.17,#FIELD!,#FIELD!,"96,166"
EVERCORE INC. (XNYS:EVR),EVR,Finance,$125.31,0.39,0.31%,5091567475,169080,$126.76,$33.25,1.71,15.41,"587,387"
"Evergy, Inc. (XNYS:EVRG)",EVRG,Public Utilities,$53.56,-0.4,-0.74%,12149111208,715581,$73.16,$42.01,0.32,19.86,"1,852,667"
EVERI HOLDINGS INC. (XNYS:EVRI),EVRI,Consumer Services,$15.89,0,0.00%,1365399924,421778,$15.99,$1.55,3.19,0,"1,511,348"
Eaton Vance Tax Div Inc (XNYS:EVT),EVT,,$24.74,0.11,0.45%,1818577381,61406,$24.82,$11.87,1.21,#FIELD!,"128,366"
Evertec Inc (XNYS:EVTC),EVTC,Technology,$35.95,-0.815,-2.22%,2584696504,346411,$42.35,$18.21,1.02,27.62,"391,959"
EDWARDS LIFESCIENCES CORPORATION (XNYS:EW),EW,Health Care,$86.38,0.605,0.71%,53942817655,1727344,$92.08,$51.51,1.05,66.46,"2,774,909"
Eaton Vance Tx-Mg B-WS (XNYS:EXD),EXD,,$10.35,0.04,0.39%,100721915,13110,$10.64,$5.41,14.1,#FIELD!,"42,136"
Eaton Vance TxMgdGlDvEIn (XNYS:EXG),EXG,,$9.08,0.0565,0.63%,2748940140,426238,$9.10,$4.71,18.83,#FIELD!,"754,473"
Endeavour Silver Corp. (XNYS:EXK),EXK,Basic Industries,$6.36,0.53,9.09%,1001522607,3365562,$6.91,$0.99,1.56,0,"5,986,587"
EAGLE MATERIALS INC. (XNYS:EXP),EXP,Capital Goods,$127.62,-1.02,-0.79%,5360248531,142224,$130.27,$41.83,1.25,17.64,"367,741"
"EXPRESS, INC. (XNYS:EXPR)",EXPR,Consumer Services,$2.72,-0.1,-3.55%,176721751,5852543,$13.97,$0.57,1.89,0,"48,226,503"
EXTRA SPACE STORAGE INC. (XNYS:EXR),EXR,Consumer Services,$124.87,1.08,0.87%,16475803076,410661,$131.59,$72.70,0.15,33.49,"824,977"
EXTERRAN CORPORATION (XNYS:EXTN),EXTN,Technology,$5.39,-0.11,-2.00%,178554395,100897,$8.93,$3.23,1.04,0,"248,563"
FORD MOTOR COMPANY (XNYS:F),F,Capital Goods,$12.67,0.685,5.72%,50390172390,64539935,$12.80,$3.96,1.21,0,"76,694,681"
FIRST AMERICAN FINANCIAL CORPORATION (XNYS:FAF),FAF,Finance,$53.81,-0.23,-0.43%,6007620033,521865,$66.78,$29.36,1.18,8.75,"837,576"
FORTRESS VALUE ACQUISITION CORP. II (XNYS:FAII),FAII,Finance,$10.09,-0.11,-1.08%,435131250,309934,$13.05,$9.65,#FIELD!,0,"1,244,447"
First Tr/Abrdn Gl Op Inc (XNYS:FAM),FAM,,$10.04,0,0.00%,101773763,22991,$11.30,$7.68,1.95,#FIELD!,"66,953"
"FLAGSTAR BANCORP, INC. (XNYS:FBC)",FBC,Finance,$44.80,0.275,0.62%,2358728521,304205,$47.92,$16.76,1.71,4.67,"578,319"
"FORTUNE BRANDS HOME & SECURITY, INC. (XNYS:FBHS)",FBHS,Basic Industries,$85.33,-0.88,-1.02%,11832392136,463793,$93.40,$33.90,1.62,21.9,"944,250"
FB Financial Corporation (XNYS:FBK),FBK,Finance,$43.38,-0.46,-1.05%,2048435831,46703,$44.84,$14.38,1.26,28.43,"161,443"
First Bancorp (XNYS:FBP),FBP,Finance,$10.95,-0.1,-0.91%,2389673951,1253775,$11.25,$3.50,1.37,24.02,"1,699,808"
FRANKLIN COVEY CO. (XNYS:FC),FC,Consumer Services,$26.07,-0.23,-0.88%,365930460,26104,$32.09,$12.61,1.74,0,"83,760"
FIRST COMMONWEALTH FINANCIAL CORPORATION (XNYS:FCF),FCF,Finance,$13.66,-0.05,-0.37%,1313146059,176319,$14.15,$6.77,1.15,18.2,"533,924"
"FTI CONSULTING, INC. (XNYS:FCN)",FCN,Consumer Services,$117.41,2.105,1.83%,4186862945,381291,$144.10,$94.87,0.38,20.3,"513,710"
"FOUR CORNERS PROPERTY TRUST, INC. (XNYS:FCPT)",FCPT,Consumer Services,$27.15,-0.095,-0.35%,2065999218,274343,$30.89,$12.80,0.9,25.22,"574,249"
"First Eagle Alternative Capital BDC, Inc (XNYS:FCRW)",FCRW,,$25.85,0.19,0.74%,0,311,$27.00,$16.05,1.79,0,740
"First Eagle Alternative Capital BDC, Inc (XNYS:FCRZ)",FCRZ,,$25.54,0.04,0.16%,0,209,$25.60,$13.00,1.79,0,"1,106"
First Tr Sr Fltg RI II (XNYS:FCT),FCT,,$12.15,0.08,0.66%,315438968,77451,$12.40,$6.80,1.13,#FIELD!,"179,548"
FREEPORT-MCMORAN INC. (XNYS:FCX),FCX,Basic Industries,$35.84,0.94,2.69%,52326400000,12449917,$39.10,$4.82,2.15,88.59,"25,767,049"
First Trust Dyn Eur Eq I (XNYS:FDEU),FDEU,,$12.36,0.0535,0.44%,213046695,8147,$13.82,$7.22,#FIELD!,#FIELD!,"48,529"
FRESH DEL MONTE PRODUCE INC. (XNYS:FDP),FDP,Consumer Non-Durables,$26.58,0.73,2.82%,1259242651,73591,$37.47,$20.25,0.73,25.05,"176,541"
FEDEX CORPORATION (XNYS:FDX),FDX,Transportation,$262.59,0.5,0.19%,69604886753,714818,$305.66,$88.69,1.26,28.49,"2,113,663"
FIRSTENERGY CORP. (XNYS:FE),FE,Public Utilities,$33.15,-0.265,-0.79%,18004864158,1827292,$48.51,$22.85,0.2,18.09,"5,328,122"
Four Seasons Education (Cayman) Inc. (XNYS:FEDU),FEDU,Consumer Services,$1.59,0.04,2.58%,73748000,13842,$2.40,$0.63,0.43,0,"757,265"
First Trust MLP Ener&Inc (XNYS:FEI),FEI,,$6.59,0.0801,1.23%,306717475,141015,$10.61,$2.44,#FIELD!,#FIELD!,"278,981"
Phoenix New Media Limited (XNYS:FENG),FENG,Consumer Services,$1.82,-0.005,-0.28%,132327254,163485,$2.65,$1.12,2.13,1.03,"1,786,911"
First Tr/Abrdn Emerg Op (XNYS:FEO),FEO,,$15.05,0.196,1.32%,75661181,6626,$15.75,$8.64,0.82,#FIELD!,"12,745"
"FORUM ENERGY TECHNOLOGIES, INC. (XNYS:FET)",FET,Energy,$21.25,-1.47,-6.47%,118489044,113364,$24.07,$3.00,4.43,0,"65,959"
FUTUREFUEL CORP. (XNYS:FF),FF,Basic Industries,$15.44,0.13,0.85%,675395672,77648,$17.86,$6.65,0.98,5.9,"209,665"
First Tr Enh Equity Inc (XNYS:FFA),FFA,,$18.14,0.02,0.11%,362488681,11004,$18.24,$9.17,25.38,#FIELD!,"28,787"
Flrty&Crumrine Pfd Secs (XNYS:FFC),FFC,,$22.45,0.1184,0.53%,1001328167,54937,$23.85,$9.01,#FIELD!,#FIELD!,"85,533"
"FBL FINANCIAL GROUP, INC. (XNYS:FFG)",FFG,Finance,$57.52,0.03,0.05%,1403287945,34336,$58.37,$29.01,0.08,19.5,"54,889"
First Tr Spec Fin&Finl (XNYS:FGB),FGB,,$3.74,0.05,1.36%,53734790,11727,$5.70,$1.26,#FIELD!,#FIELD!,"82,372"
FG NEW AMERICA ACQUISITION CORP. (XNYS:FGNA),FGNA,Finance,$10.15,-0.09,-0.88%,307546269,170750,$11.60,$9.78,#FIELD!,0,"1,243,236"
"FEDERATED HERMES, INC. (XNYS:FHI)",FHI,Finance,$28.52,-0.21,-0.73%,2833973734,241693,$31.36,$12.54,1.19,0,"734,087"
FIRST HORIZON CORPORATION (XNYS:FHN),FHN,Finance,$16.86,0.025,0.15%,9350947155,1875949,$17.26,$6.27,1.54,10.67,"7,647,008"
Franks International NV (XNYS:FI),FI,Energy,$4.98,-0.435,-8.04%,1125935607,744972,$5.44,$1.49,1.53,0,"1,400,025"
FAIR ISAAC CORPORATION (XNYS:FICO),FICO,Miscellaneous,$474.55,2.6,0.55%,13873996001,59230,$530.95,$177.65,1.25,52.53,"287,399"
First Trust Energy Infra (XNYS:FIF),FIF,,$11.34,-0.01,-0.09%,196763867,17088,$15.69,$6.05,0.87,#FIELD!,"90,276"
ANGEL OAK FINANCIAL STRATEGIES INCOME TERM TRUST (XNYS:FINS),FINS,,$17.44,-0.0001,0.00%,265592202,23131,$20.49,$11.70,#FIELD!,0,"42,827"
FinVolution Group (XNYS:FINV),FINV,Finance,$5.37,-0.481,-8.22%,1641543568,1089468,$8.16,$1.22,0.94,6.35,"2,403,106"
"FIDELITY NATIONAL INFORMATION SERVICES, INC. (XNYS:FIS)",FIS,Miscellaneous,$139.90,0.3,0.22%,86895897016,1817862,$156.73,$91.68,0.84,555.33,"4,554,287"
First Trust Sr FR2022 TT (XNYS:FIV),FIV,,$9.28,-0.0299,-0.32%,332520543,42052,$9.33,$5.23,1.08,#FIELD!,"78,137"
"COMFORT SYSTEMS USA, INC. (XNYS:FIX)",FIX,Capital Goods,$66.38,0.865,1.32%,2415701598,185793,$66.69,$27.54,1.05,16.02,"241,635"
"FOOT LOCKER, INC. (XNYS:FL)",FL,Consumer Services,$50.32,-1.33,-2.58%,5243925548,1249624,$54.77,$17.46,1.34,16.23,"2,106,212"
Flrty&Crumrine Tot Rtn (XNYS:FLC),FLC,,$23.04,0.07,0.31%,230928445,10042,$24.48,$8.87,#FIELD!,#FIELD!,"21,927"
FLEX LNG LTD. (XNYS:FLNG),FLNG,Consumer Services,$8.68,-0.26,-2.91%,465860669,89521,$10.65,$3.40,0.66,55.88,"69,941"
"FLOWERS FOODS, INC. (XNYS:FLO)",FLO,Consumer Non-Durables,$22.09,0.265,1.21%,4675390856,540944,$25.18,$17.42,0.25,30.31,"1,006,219"
"SPX FLOW, INC. (XNYS:FLOW)",FLOW,Technology,$63.89,-0.225,-0.35%,2692717230,42494,$64.41,$15.74,1.82,64.07,"226,903"
FLUOR CORPORATION (XNYS:FLR),FLR,Basic Industries,$17.35,0.21,1.23%,2441408807,1998617,$21.50,$2.85,2.91,0,"2,942,505"
FLOWSERVE CORPORATION (XNYS:FLS),FLS,Capital Goods,$37.98,-0.15,-0.39%,4947885139,328184,$42.54,$18.98,1.81,43.07,"1,006,234"
"FLEETCOR TECHNOLOGIES, INC. (XNYS:FLT)",FLT,Miscellaneous,$285.72,3.22,1.14%,23905096092,169495,$292.70,$168.51,1.47,34.74,"730,580"
